limb.1	Depdc2 (+33667)
limb.1552	Nxnl2 (+88244), Edg3 (-149495)
limb.1553	Nxnl2 (+108894), Edg3 (-128845)
limb.1554	Edg3 (-93757), Nxnl2 (+143982)
limb.1555	Shc3 (-36560), Cks2 (-41681)
limb.1556	Gadd45g (+74087), Diras2 (+610054)
limb.1557	Ror2 (-23835), Sptlc1 (+67417)
limb.1558	Msx2 (-3489)
limb.1559	Drd1a (+62526), Msx2 (-520352)
limb.1560	Rnf44 (-229)
limb.1561	H2afy (+56275), Pitx1 (-247815)
limb.1562	H2afy (-3912)
limb.1563	H2afy (-24487), Neurog1 (+92161)
limb.1564	Neurog1 (+30398), H2afy (-86250)
limb.1565	Cxcl14 (+7174), Neurog1 (-37214)
limb.1566	Cxcl14 (-25276), AU042651 (-116528)
limb.1567	Cxcl14 (-54351), AU042651 (-87453)
limb.1568	AU042651 (-57065), Cxcl14 (-84739)
limb.1569	Tgfbi (-27238), Lect2 (-33865)
limb.1570	Tgfbi (+8162), Smad5 (-85342)
limb.1571	5133401N09Rik (-99277), Spock1 (-150102)
limb.1572	Slc28a3 (-46225), Ntrk2 (-150731)
limb.1573	Ntrk2 (+163857), Agtpbp1 (+585629)
limb.1574	Agtpbp1 (+103842), Ntrk2 (+645644)
limb.1575	Zcchc6 (-173451), Gas1 (+180813)
limb.1576	Gas1 (+169338), Zcchc6 (-184926)
limb.1577	Gas1 (+157150), Zcchc6 (-197114)
limb.1578	Gas1 (+119513), Zcchc6 (-234751)
limb.1579	Gas1 (+66775), Zcchc6 (-287489)
limb.1580	Gas1 (-325)
limb.1581	Gas1 (-49262), Dapk1 (-375320)
limb.1582	Gas1 (-90637), Dapk1 (-333945)
limb.1583	Dapk1 (-191945), Gas1 (-232637)
limb.1584	Dapk1 (-161157), Gas1 (-263425)
limb.1585	Fbp2 (-7508), Fbp1 (+22358)
limb.1586	2010111I01Rik (-21068), Fbp1 (-105630)
limb.1587	2010111I01Rik (+156669), Fancc (+260090)
limb.1588	Fancc (+192227), 2010111I01Rik (+224532)
limb.1589	Ptch1 (+40252), Fancc (-93523)
limb.1590	Ptch1 (+36715), Fancc (-97060)
limb.1591	Ptch1 (+3802), Fancc (-129973)
limb.1592	Ptch1 (-748)
limb.1593	Ptch1 (-7885), 0610007P08Rik (-241929)
limb.1594	Ptch1 (-61885), 0610007P08Rik (-187929)
limb.1595	0610007P08Rik (+68459), Hsd17b3 (+205408)
limb.1596	0610007P08Rik (+103446), Hsd17b3 (+170421)
limb.1597	Habp4 (+43473), Cdc14b (+69537)
limb.1598	Cdc14b (+39650), Habp4 (+73360)
limb.1599	Med10 (+473316), Adamts16 (+558612)
limb.1600	Adamts16 (+366300), Med10 (+665628)
limb.1601	Irx1 (+229070), Adamts16 (-891413)
limb.1602	Irx2 (-30213), Irx1 (-635042)
limb.1603	Nkd2 (+13597), Slc12a7 (+70318)
limb.1604	Vcan (+15941), Hapln1 (+185782)
limb.1605	Tmem167 (+331360), Rps23 (-502080)
limb.1606	Rps23 (-160855), Tmem167 (+672585)
limb.1607	Rps23 (-180)
limb.1608	Atg10 (+36341), Rps23 (+264470)
limb.1609	Ssbp2 (-90093), Atg10 (-147009)
limb.1610	Ssbp2 (-381)
limb.1611	Arsb (+67267), Lhfpl2 (-218850)
limb.1612	Scamp1 (-590)
limb.1613	Tbca (-180247), Ap3b1 (+249665)
limb.1614	Iqgap2 (+84801), F2rl2 (+110201)
limb.1615	Enc1 (+336426), Rgnef (+628569)
limb.1616	Rgnef (+420669), Enc1 (+544326)
limb.1617	Rgnef (+266282), Enc1 (+698713)
limb.1618	Tnpo1 (+51)
limb.1619	Mrps27 (+69097), Mtap1b (+102657)
limb.1620	Mtap1b (-21581), Cartpt (+362562)
limb.1621	Cartpt (+119575), Mtap1b (-264568)
limb.1622	Cartpt (+109762), Mtap1b (-274381)
limb.1623	Slc30a5 (-382906), Pik3r1 (+551884)
limb.1624	Nln (+86118), Erbb2ip (-102982)
limb.1625	Sdccag10 (+240532), Cenpk (+347033)
limb.1626	Zswim6 (+93734), Kif2a (-773744)
limb.1627	Zswim6 (+58121), Kif2a (-809357)
limb.1628	Map3k1 (-145010), Ankrd55 (-334827)
limb.1629	Ankrd55 (-224890), Map3k1 (-254947)
limb.1630	Il6st (-21016), Ankrd55 (+154273)
limb.1631	Ndufs4 (+228325), Arl15 (+365210)
limb.1632	Itga1 (-109591)
limb.1633	EG633640 (-333)
limb.1634	Flnb (+79055), Dnase1l3 (+97170)
limb.1635	Oit1 (+42876), Acox2 (-76951)
limb.1636	Fezf2 (+319566), Ptprg (+472709)
limb.1637	A430083B19Rik (+100111), Thoc7 (+190238)
limb.1638	Top2b (-36519), Oxsm (-78879)
limb.1639	Rarb (+20461), Top2b (+189543)
limb.1640	Rarb (-158664)
limb.1641	Nid2 (-916)
limb.1642	Adk (+199883), Myst4 (-247338)
limb.1643	Myst4 (-211650), Adk (+235571)
limb.1644	Myst4 (-57800), Adk (+389421)
limb.1645	Myst4 (-37350), Adk (+409871)
limb.1646	Dupd1 (+29510), Myst4 (+185212)
limb.1647	Comtd1 (-17719), Zfp503 (+122972)
limb.1648	Zfp503 (-59528)
limb.1649	Zfp503 (-103728)
limb.1650	Zfp503 (-365265)
limb.1651	Zfp503 (-452453)
limb.1652	Zfp503 (-601703)
limb.1653	Zfp503 (-718815)
limb.1654	Kcnma1 (+988539)
limb.1655	Kcnma1 (+618314)
limb.1656	Kcnma1 (+552364)
limb.1657	Kcnma1 (+461876)
limb.1658	Kcnma1 (+438076)
limb.1659	Dlg5 (-17184), Polr3a (+223942)
limb.1660	Rps24 (+410298), Zmiz1 (-558577)
limb.1661	Zmiz1 (-476565), Rps24 (+492310)
limb.1662	Zmiz1 (-473265), Rps24 (+495610)
limb.1663	Zmiz1 (-416627), Rps24 (+552248)
limb.1664	Zmiz1 (-414365), Rps24 (+554510)
limb.1665	Zmiz1 (-262215), Rps24 (+706660)
limb.1666	Il17rd (+27639), Arhgef3 (-171399)
limb.1667	Il17rd (+30789), Arhgef3 (-168249)
limb.1668	Arhgef3 (-86337), Il17rd (+112701)
limb.1669	Arhgef3 (+114038), Erc2 (-270365)
limb.1670	Arhgef3 (+129413), Erc2 (-254990)
limb.1671	Erc2 (+166810), Wnt5a (-716221)
limb.1672	Erc2 (+439635), Wnt5a (-443396)
limb.1673	Wnt5a (-435408), Erc2 (+447623)
limb.1674	Wnt5a (-37308), Erc2 (+845723)
limb.1675	Wnt5a (-3908)
limb.1676	Wnt5a (+158542), Lrtm1 (-354239)
limb.1677	Lrtm1 (-219739), Wnt5a (+293042)
limb.1678	Lrtm1 (-45514), Wnt5a (+467267)
limb.1679	Lrtm1 (+95936), Cacna2d3 (+607674)
limb.1680	Btd (+21225), Ankrd28 (+168125)
limb.1681	Ptpn20 (+118782), Gdf10 (-215535)
limb.1682	Gnpnat1 (-54180), Plekhc1 (+87089)
limb.1683	Ddhd1 (-167983), Ubb (-257901)
limb.1684	Ubb (-64576), Ddhd1 (-361308)
limb.1685	Cdkn3 (-42090), Bmp4 (-327889)
limb.1686	Cdkn3 (-37702), Bmp4 (-332277)
limb.1687	Socs4 (+21783), Lgals3 (-74992)
limb.1688	Chd8 (-19954), Rab2b (+21803)
limb.1689	Jub (+4102), Prmt5 (-55907)
limb.1690	Jub (+1777), Prmt5 (-58232)
limb.1691	Tmem46 (-10969), Cdadc1 (-16395)
limb.1692	Tmem46 (+184743), Atp8a2 (+276783)
limb.1693	Mtmr6 (+220448), mFLJ00298 (-221196)
limb.1694	Zfp395 (-14662), Fbxo16 (+77313)
limb.1695	Pbk (-55797), Scara5 (+83687)
limb.1696	Stmn4 (+33989), Adra1a (-256894)
limb.1697	Ebf2 (+150334), Cdca2 (+331435)
limb.1698	Stc1 (-94283), Adam28 (-279164)
limb.1699	Loxl2 (+30153), R3hcc1 (+75170)
limb.1700	Phyhip (+13739), Bmp1 (+48932)
limb.1701	Phyhip (+17252), Bmp1 (+45419)
limb.1702	Tsc22d1 (+207023), Enox1 (-533972)
limb.1703	Enox1 (-345760), Tsc22d1 (+395235)
limb.1704	Enox1 (+220778), Dnajc15 (+497323)
limb.1705	AU017455 (+106890), 1300010F03Rik (+131242)
limb.1706	Wbp4 (-29488), Sugt1 (-76935)
limb.1707	Olfm4 (-42183), Pcdh8 (-186819)
limb.1708	Diap3 (+391970)
limb.1709	Pcdh9 (+102281)
limb.1710	Klhl1 (-567848)
limb.1711	Klf12 (+181576), Klf5 (+669528)
limb.1712	Klf12 (-640737), Tbc1d4 (+818688)
limb.1713	Tbc1d4 (+719163), Klf12 (-740262)
limb.1714	Kctd12 (+580003), Lmo7 (+672677)
limb.1715	Kctd12 (+470566), Lmo7 (+782114)
limb.1716	Kctd12 (+281916), Lmo7 (+970764)
limb.1717	Kctd12 (+123103)
limb.1718	Ndfip2 (+118855), Spry2 (+519160)
limb.1719	Ndfip2 (+313880), Spry2 (+324135)
limb.1720	Slitrk6 (+676580)
limb.1721	Sox21 (-127689), Abcc4 (+342614)
limb.1722	Abcc4 (+195764), Sox21 (-274539)
limb.1723	Oxgr1 (-95406), Mbnl2 (-137828)
limb.1724	Mbnl2 (+2872), Rap2a (-199920)
limb.1725	Ranbp5 (+197235), Stk24 (+270801)
limb.1726	Stk24 (+180051), Ranbp5 (+287985)
limb.1727	Stk24 (+131714), Ranbp5 (+336322)
limb.1728	Clybl (+18833), Zic5 (+265105)
limb.1729	Clybl (+65808), Zic5 (+218130)
limb.1730	Clybl (+74520), Zic5 (+209418)
limb.1731	Dab2 (-106697)
limb.1732	Rai14 (+104657), Rad1 (+122849)
limb.1733	Adamts12 (+115256), Tars (+219612)
limb.1734	Tars (-212775), Npr3 (+293241)
limb.1735	Npr3 (+205741), Tars (-300275)
limb.1736	Sub1 (+2061), Npr3 (-88272)
limb.1737	Pdzd2 (+77127), Golph3 (+194287)
limb.1738	Pdzd2 (-105436), Rnasen (-135483)
limb.1739	Cdh6 (+106356), Rnasen (+233454)
limb.1740	NONE
limb.1741	March11 (+210410), Fbxl7 (+376106)
limb.1742	Fbxl7 (+14756), March11 (+571760)
limb.1743	Trio (+241540), Ank (+317631)
limb.1744	Trio (+237852), Ank (+321319)
limb.1745	Trio (+228177), Ank (+330994)
limb.1746	Sema5a (+126770), Sdc2 (-549140)
limb.1747	2310042E16Rik (-43031), Osr2 (+237296)
limb.1748	Zfp706 (-45969), Grhl2 (-179876)
limb.1749	Rspo2 (+145363), Angpt1 (-348660)
limb.1750	NONE
limb.1751	Trps1 (+192999)
limb.1752	Trps1 (+191524)
limb.1753	Trps1 (-246276), Eif3h (+729144)
limb.1754	Eif3h (+139581), Trps1 (-835839)
limb.1755	Eif3h (+66719), Trps1 (-908701)
limb.1756	Med30 (-38937), Slc30a8 (+377955)
limb.1757	Ext1 (-1238)
limb.1758	Col14a1 (-41918), Depdc6 (+153350)
limb.1759	Sntb1 (-170934), Has2 (+616615)
limb.1760	Sntb1 (-259522), Has2 (+528027)
limb.1761	BC026439 (+78817), Has2 (-704310)
limb.1762	9130401M01Rik (+58236), Wdr67 (+63859)
limb.1763	A1bg (-430698), Myc (-633295)
limb.1764	Mlze (+614318)
limb.1765	Naprt1 (+7435), Gsdmdc1 (+24707)
limb.1766	Scx (-10605), mKIAA1833 (+66313)
limb.1767	Scx (+4808), Bop1 (+15023)
limb.1768	C030006K11Rik (-26818), D15Wsu169e (+67493)
limb.1769	Apol6 (-7330), Zfp647 (-112498)
limb.1770	Rbm9 (+104420), Mb (-151840)
limb.1771	Rbm9 (+52182), Mb (-204078)
limb.1772	Pdxp (-398)
limb.1773	Cbx7 (-18037), Pdgfb (+64125)
limb.1774	Ttll12 (-44236), Scube1 (+85675)
limb.1775	Scube1 (+58525), Ttll12 (-71386)
limb.1776	Scube1 (+46613), Ttll12 (-83298)
limb.1777	Smc1b (-35276), Fbln1 (-38778)
limb.1778	Wnt7b (-1264)
limb.1779	AW049604 (+31541), Zdhhc25 (-943531)
limb.1780	Prickle1 (-261929), Adamts20 (+546438)
limb.1781	Nell2 (+173511), Tmem117 (+726010)
limb.1782	Slc38a1 (-18913), Slc38a2 (+56616)
limb.1783	Tegt (+27721), Bcdin3d (+54022)
limb.1784	Mettl7a (-322)
limb.1785	Pou6f1 (-248)
limb.1786	BC004728 (-290)
limb.1787	Krt7 (-15807), Krt80 (-26470)
limb.1788	Rarg (+8626), Itgb7 (-16971)
limb.1789	Sp7 (-4836)
limb.1790	Sp1 (-1096)
limb.1791	Atp5g2 (+14090), Atf7 (-31536)
limb.1792	Atp5g2 (+13152), Atf7 (-32474)
limb.1793	Calcoco1 (-98251), Hoxc13 (-100811)
limb.1794	Hoxc11 (+5469), Hoxc10 (-6870)
limb.1795	Hoxc5 (+599)
limb.1796	Cbx5 (+24509), Smug1 (-51870)
limb.1797	Gpr84 (+5218), Copz1 (+32302)
limb.1798	Glis2 (-7625), Tcfap4 (-27368)
limb.1799	Vasn (+18894), Coro7 (+20832)
limb.1800	A2bp1 (+276660)
limb.1801	A2bp1 (+278085)
limb.1802	4930511J11Rik (+250028)
limb.1803	BC068110 (-7445), Ciita (-33484)
limb.1804	Ntan1 (-13107), Rrn3 (+25471)
limb.1805	4921513D23Rik (-521), Nde1 (-3511)
limb.1806	Efcab1 (+146449), Ube2v2 (+541406)
limb.1807	Efcab1 (+178662), Ube2v2 (+509193)
limb.1808	Ube2v2 (+298956), Efcab1 (+388899)
limb.1809	Cebpd (+71447), Pkp2 (-254612)
limb.1810	Fgd4 (-199)
limb.1811	Serpind1 (-20245), Hic2 (+77583)
limb.1812	Scarf2 (+12651), Car15 (+28253)
limb.1813	Zdhhc8 (+48878), Rtn4r (+58552)
limb.1814	Ephb3 (+6170), Vps8 (-212153)
limb.1815	Ephb3 (+41433), Vps8 (-176890)
limb.1816	Map3k13 (-21804), Ehhadh (-82369)
limb.1817	5430420C16Rik (+178923), Trp63 (-336202)
limb.1818	Trp63 (-221577), 5430420C16Rik (+293548)
limb.1819	Ccdc50 (+269)
limb.1820	Opa1 (+155973), Hes1 (-330042)
limb.1821	Opa1 (+182635), Hes1 (-303380)
limb.1822	Hes1 (-225542), Opa1 (+260473)
limb.1823	Hes1 (-170955), Opa1 (+315060)
limb.1824	Hes1 (-68767), Opa1 (+417248)
limb.1825	Hes1 (-56205), Opa1 (+429810)
limb.1826	Hes1 (-1330)
limb.1827	Hes1 (+90758), Cpn2 (+111417)
limb.1828	Cpn2 (+31005), Hes1 (+171170)
limb.1829	Cpn2 (+25692), Hes1 (+176483)
limb.1830	AI480653 (+77190), Lsg1 (-416601)
limb.1831	Muc13 (-54660), Slc12a8 (+221048)
limb.1832	Ptplb (+44994), Adcy5 (-88221)
limb.1833	Casr (+52632), Stfa3 (-54110)
limb.1834	Hcls1 (+14712), Fbxo40 (+29409)
limb.1835	Lsamp (-22217)
limb.1836	Gap43 (-444099), Zbtb20 (-725558)
limb.1837	Sidt1 (-61850), Boc (+164182)
limb.1838	Boc (+63820), Sidt1 (-162212)
limb.1839	Boc (-57730), Gtpbp8 (+129759)
limb.1840	Boc (-74068), Gtpbp8 (+113421)
limb.1841	Gtpbp8 (+79684), Boc (-107805)
limb.1842	Gtpbp8 (+50471), Boc (-137018)
limb.1843	Phldb2 (-36147), Cd96 (+239584)
limb.1844	Ccdc54 (-162859)
limb.1845	Ccdc54 (-221771)
limb.1846	Zpld1 (+291258)
limb.1847	Zpld1 (+140220)
limb.1848	Zpld1 (+135245)
limb.1849	Zpld1 (+22070)
limb.1850	Zpld1 (-159667), Nfkbiz (+395904)
limb.1851	Col8a1 (+59824), 4933401B01Rik (-402048)
limb.1852	Nsun3 (+317341)
limb.1853	Epha3 (+307445), Pros1 (+702378)
limb.1854	Epha3 (+263695), Pros1 (+746128)
limb.1855	Epha3 (+261470), Pros1 (+748353)
limb.1856	Gbe1 (-74431)
limb.1857	Robo1 (+23232)
limb.1858	Robo1 (+141444)
limb.1859	Robo1 (+344569)
limb.1860	Robo1 (+433744)
limb.1861	Robo2 (+317244)
limb.1862	Robo2 (-37406)
limb.1863	Robo2 (-385119), Lipi (+790030)
limb.1864	Usp25 (+622599), Cxadr (-665023)
limb.1865	Adamts5 (+21732), Adamts1 (-76294)
limb.1866	N6amt1 (-458917), Adamts5 (-994143)
limb.1867	Cldn8 (-37021), 2310002B14Rik (+47640)
limb.1868	Tiam1 (+15721), Krtap6-2 (-524995)
limb.1869	Hunk (+137184), 2610039C10Rik (+203790)
limb.1870	Olig2 (-13407), 4932438H23Rik (-142998)
limb.1871	Itsn1 (+17097), Atp5o (+185162)
limb.1872	Runx1 (+87385), Clic6 (+240534)
limb.1873	Setd4 (+340385), Runx1 (-437352)
limb.1874	Setd4 (+331235), Runx1 (-446502)
limb.1875	Dscr3 (+16249), Pigp (-139179)
limb.1876	Ets2 (+92145), Dscr2 (+196272)
limb.1877	Ets2 (+94470), Dscr2 (+193947)
limb.1878	Dscr2 (+142472), Ets2 (+145945)
limb.1879	Nox3 (-420102)
limb.1880	Nox3 (-802315), Ldhal6b (+920191)
limb.1881	Ldhal6b (+185504)
limb.1882	Qk (-15644), Park2 (-504887)
limb.1883	Park2 (-187)
limb.1884	Igf2r (-24491), Mas1 (+73946)
limb.1885	Mas1 (+33158), Igf2r (-65279)
limb.1886	Mllt4 (-161622), Unc93a (-411269)
limb.1887	Thbs2 (+183384), Smoc2 (+231171)
limb.1888	4932442K08Rik (+44466), Psmb1 (+57564)
limb.1889	Rgmb (+17574), Chd1 (+103722)
limb.1890	Rgmb (-350738), BC002059 (-774215)
limb.1891	Riok2 (+64298), Lnpep (+185615)
limb.1892	Riok2 (+67536), Lnpep (+182377)
limb.1893	Riok2 (+116811), Lnpep (+133102)
limb.1894	Riok2 (+124461), Lnpep (+125452)
limb.1895	4930546H06Rik (-9485), Lnpep (-203535)
limb.1896	Traf7 (-463)
limb.1897	Tmem112 (+14879), Gng13 (-123156)
limb.1898	Grm4 (+81140), Lemd2 (-218645)
limb.1899	Hmga1 (-401)
limb.1900	Tcp11 (-18747), Scube3 (-43195)
limb.1901	Tcp11 (-26809), Scube3 (-35133)
limb.1902	Fgd2 (+55479), Pim1 (-74652)
limb.1903	Pim1 (-26827), Fgd2 (+103304)
limb.1904	Pim1 (-614)
limb.1905	Ppp1r10 (+1383), Mrps18b (-2212)
limb.1906	Enpp5 (-87505), Rcan2 (+189513)
limb.1907	Clic5 (+112417), Supt3h (-476182)
limb.1908	Clic5 (+244230), Supt3h (-344369)
limb.1909	Cdc5l (+107143), Runx2 (-511937)
limb.1910	Vegfa (+144861), Mrpl14 (+200517)
limb.1911	Mrps18a (-24315), Vegfa (-54939)
limb.1912	Ptk7 (+10572), Srf (-62702)
limb.1913	Foxp4 (-18896), 9830107B12Rik (+202930)
limb.1914	Foxp4 (-51384), 9830107B12Rik (+170442)
limb.1915	Foxp4 (-64846), 9830107B12Rik (+156980)
limb.1916	Foxp4 (-65846), 9830107B12Rik (+155980)
limb.1917	Foxp4 (-107159), 9830107B12Rik (+114667)
limb.1918	9830107B12Rik (+81130), Foxp4 (-140696)
limb.1919	Apobec2 (-4923)
limb.1920	Mocs1 (-232038), Lrfn2 (+263947)
limb.1921	Ptprs (+13404), Jmjd2b (+136873)
limb.1922	Rfx2 (+16448), Dus3l (+49737)
limb.1923	Nudt12 (-257018)
limb.1924	Efna5 (+179865)
limb.1925	Efna5 (-156410), Fbxl17 (+455026)
limb.1926	Rab12 (-177303), Ptprm (+657414)
limb.1927	Arhgap28 (+52897), Lama1 (+253896)
limb.1928	Arhgap28 (+7647), Lama1 (+299146)
limb.1929	Arhgap28 (+4060), Lama1 (+302733)
limb.1930	Dlgap1 (+41990), Tgif1 (+384412)
limb.1931	Tgif1 (+1425), Dlgap1 (+424977)
limb.1932	4632412N22Rik (+327000), Alk (+604046)
limb.1933	Capn13 (+140460), Lbh (+340510)
limb.1934	Ltbp1 (-116193), Ttc27 (+171586)
limb.1935	Rasgrp3 (+671535)
limb.1936	Qpct (+93405), Cdc42ep3 (+209780)
limb.1937	AW061290 (-113764), Cdc42ep3 (-146045)
limb.1938	Map4k3 (-24568), Tmem178 (-191971)
limb.1939	Tmem178 (-57096), Map4k3 (-159443)
limb.1940	Slc8a1 (+224666), Thumpd2 (-448629)
limb.1941	AW548124 (-48066)
limb.1942	Haao (-43021), Zfp36l2 (+298136)
limb.1943	Haao (-67208), Zfp36l2 (+273949)
limb.1944	Haao (-87171), Zfp36l2 (+253986)
limb.1945	Haao (-92071), Zfp36l2 (+249086)
limb.1946	Haao (-118071), Zfp36l2 (+223086)
limb.1947	Haao (-143908), Zfp36l2 (+197249)
limb.1948	Zfp36l2 (+4799), Haao (-336358)
limb.1949	Zfp36l2 (-289)
limb.1950	Thada (+69724), Zfp36l2 (-178039)
limb.1951	Six2 (-135564), Srbd1 (+296911)
limb.1952	Six2 (-201551), Srbd1 (+230924)
limb.1953	Srbd1 (+187999), Six2 (-244476)
limb.1954	Srbd1 (+82874), Six2 (-349601)
limb.1955	Mcfd2 (+28817), Socs5 (+129419)
limb.1956	Papd1 (+143136), Svil (-527861)
limb.1957	Kif5b (-39278), Epc1 (+210078)
limb.1958	Mkx (-90109), Mpp7 (+531998)
limb.1959	Colec12 (+35763), Thoc1 (-214740)
limb.1960	Esco1 (+77887), Rock1 (-350673)
limb.1961	Cables1 (+44405), 6030446N20Rik (+237774)
limb.1962	Npc1 (+47819), Riok3 (+59717)
limb.1963	Hrh4 (+74852), Zfp521 (+890695)
limb.1964	Hrh4 (+132414), Zfp521 (+833133)
limb.1965	Zfp521 (+437020), Hrh4 (+528527)
limb.1966	Zfp521 (+29720), Hrh4 (+935827)
limb.1967	Zfp521 (-147380), Ss18 (+562997)
limb.1968	Taf4b (+3112), Kctd1 (+306429)
limb.1969	Chst9 (-310755), Cdh2 (+780367)
limb.1970	Brunol4 (+176407), 5730494M16Rik (-409129)
limb.1971	Brunol4 (+121232), 5730494M16Rik (-464304)
limb.1972	Gypc (+61475), Bin1 (+121342)
limb.1973	Nme5 (+22)
limb.1974	Hspa9 (-374)
limb.1975	Cxxc5 (+59504), Psd2 (-75513)
limb.1976	Psd2 (-45413), Cxxc5 (+89604)
limb.1977	Spry4 (+16896), Ndfip1 (+165397)
limb.1978	Fgf1 (+152365), Spry4 (-165066)
limb.1979	Fgf1 (+113977), Spry4 (-203454)
limb.1980	Sema6a (-166)
limb.1981	EG433182 (+399074), Pol (-946866)
limb.1982	Csnk1g3 (+516159), Zfp608 (+611641)
limb.1983	Zfp608 (+413054), Csnk1g3 (+714746)
limb.1984	Zfp608 (+275179), Csnk1g3 (+852621)
limb.1985	Zfp608 (+87754)
limb.1986	Zfp608 (+10979)
limb.1987	Zfp608 (+6591)
limb.1988	Zfp608 (-934)
limb.1989	Zfp608 (-143884)
limb.1990	Zfp608 (-200034)
limb.1991	Zfp608 (-207871)
limb.1992	Zfp608 (-213946)
limb.1993	Zfp608 (-463934)
limb.1994	Zfp608 (-505471)
limb.1995	Zfp608 (-559971)
limb.1996	Zfp608 (-634346), Aldh7a1 (+948613)
limb.1997	Zfp608 (-705146), Aldh7a1 (+877813)
limb.1998	Zfp608 (-773721), Aldh7a1 (+809238)
limb.1999	Aldh7a1 (+756650), Zfp608 (-826309)
limb.2000	Aldh7a1 (+509175)
limb.2001	Lmnb1 (+93374), March3 (+124301)
limb.2002	BC065127 (-26412), Ndst1 (+57135)
limb.2003	BC065127 (-40462), Ndst1 (+43085)
limb.2004	Ndst1 (+39173), BC065127 (-44374)
limb.2005	Csnk1a1 (+54265), Il17b (-78088)
limb.2006	Spink10 (+156361), Apcdd1 (-217055)
limb.2007	9430028L06Rik (-176761), Txnl1 (+473912)
limb.2008	Nedd4l (+31340), AK132555 (+294300)
limb.2009	Zfp532 (-59371), Malt1 (+89862)
limb.2010	Zfp532 (+1767), 5330437I02Rik (-116271)
limb.2011	Ccbe1 (-80984), Pmaip1 (-85782)
limb.2012	Pmaip1 (-36770), Ccbe1 (-129996)
limb.2013	D18Ertd653e (+126140), 4933403F05Rik (+240936)
limb.2014	Tcf4 (-435549), Mc2r (-480913)
limb.2015	Tcf4 (-434599), Mc2r (-481863)
limb.2016	Tcf4 (-369137), Mc2r (-547325)
limb.2017	Tcf4 (-275612), Mc2r (-640850)
limb.2018	Tcf4 (-260974), Mc2r (-655488)
limb.2019	Tcf4 (-227849), Mc2r (-688613)
limb.2020	Tcf4 (-220199), Mc2r (-696263)
limb.2021	Tcf4 (-198437), Mc2r (-718025)
limb.2022	Tcf4 (+49238), Rab27b (+658410)
limb.2023	Tcf4 (+51476), Rab27b (+656172)
limb.2024	Tcf4 (+268551), Rab27b (+439097)
limb.2025	Tcf4 (+284713), Rab27b (+422935)
limb.2026	Smad7 (-393)
limb.2027	Smad7 (+95407), Gm672 (+234924)
limb.2028	Smad2 (+94697), Ier3ip1 (-672504)
limb.2029	Smad2 (+206572), Ier3ip1 (-560629)
limb.2030	Ier3ip1 (-113929), Smad2 (+653272)
limb.2031	Slc14a1 (-21602), Slc14a2 (+452018)
limb.2032	Slc14a1 (-114715), Slc14a2 (+358905)
limb.2033	Slc14a1 (-136540), Slc14a2 (+337080)
limb.2034	Slc14a1 (-144327), Slc14a2 (+329293)
limb.2035	Slc14a1 (-157177), Slc14a2 (+316443)
limb.2036	Slc14a2 (+225130), Slc14a1 (-248490)
limb.2037	Slc14a2 (+111730), Slc14a1 (-361890)
limb.2038	Ctdp1 (-85407), Nfatc1 (+157984)
limb.2039	Nfatc1 (+75846), Ctdp1 (-167545)
limb.2040	Galr1 (+266581)
limb.2041	Galr1 (+253056)
limb.2042	Zfp516 (-66673), AK156842 (-267830)
limb.2043	Zfp516 (+229940), Tshz1 (+901003)
limb.2044	Zfp516 (+535990), Tshz1 (+594953)
limb.2045	Cd248 (+3773), Tmem151 (+13626)
limb.2046	Scyl1 (-32500), Slc25a45 (-74565)
limb.2047	Flrt1 (-7975), Otub1 (+92636)
limb.2048	Otub1 (+31698), Flrt1 (-68913)
limb.2049	Rab3il1 (-4080)
limb.2050	Tle4 (-496890), Psat1 (+830152)
limb.2051	Psat1 (+97402)
limb.2052	Gnaq (+77067), Gna14 (-225864)
limb.2053	Pcsk5 (+3752), Rfk (+257065)
limb.2054	Pcsk5 (-449986), Ostf1 (+526923)
limb.2055	Trpm6 (-18922), BC016495 (+99045)
limb.2056	Klf9 (-439965), Trpm3 (+562144)
limb.2057	Smarca2 (-224)
limb.2058	D19Bwg1357e (+49597), Kcnv2 (+57604)
limb.2059	Sgms1 (-71912), Minpp1 (-165821)
limb.2060	Sgms1 (-76550), Minpp1 (-161183)
limb.2061	Minpp1 (+38629), Papss2 (-95607)
limb.2062	Stambpl1 (+3066), Acta2 (+60000)
limb.2063	Cep55 (-39353), Cyp26a1 (+317882)
limb.2064	Sorbs1 (+98489), Pdlim1 (-143790)
limb.2065	Tll2 (+46213), Tmem10 (-83448)
limb.2066	Hps1 (-156872), Cnnm1 (-504363)
limb.2067	Hps1 (-168347), Cnnm1 (-492888)
limb.2068	Dnmbp (-36531), Cpn1 (+37597)
limb.2069	Peo1 (+7265), Lzts2 (-7564)
limb.2070	Poll (+84120), Btrc (+112672)
limb.2071	Mgea5 (-207)
limb.2072	BC063749 (+38)
limb.2073	Sorcs3 (-120927), BC063749 (-165799)
limb.2074	Xpnpep1 (-42369), Add3 (-63086)
limb.2075	Gpam (-8614), Tectb (-72824)
limb.2076	Tcf7l2 (-148697), Vti1a (+277222)
limb.2077	Tcf7l2 (+67516), Habp2 (-478152)
limb.2078	Tcf7l2 (+73003), Habp2 (-472665)
limb.2079	Habp2 (-201190), Tcf7l2 (+344478)
limb.2080	Habp2 (-187977), Tcf7l2 (+357691)
